recno,Field,RA1,RA2,DE1,DE2,m1,m2,mcen,Nfib,Ngal,f,Night,Frame,plate,_RA.icrs,_DE.icrs
296,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=296,22 45 09.60,22 53 52.80,-45 44 24.0,-44 15 00.0,15.06,17.76,19.06,112,108,0.52,1994-01-10,105,SSA074-200; 2235-45M,22 48 04.86,-45 28 32.4
297,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=297,22 37 36.00,22 45 09.60,-45 44 24.0,-44 15 00.0,15.06,17.76,19.06,112,85,0.44,1994-07-10,181,SSA080-100; 2235-45W,22 40 33.38,-45 28 43.3
298,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=298,22 48 47.59,22 56 43.73,-42 45 13.0,-41 16 05.2,14.92,17.72,19.02,112,101,0.92,1994-02-09,181,SSA047-200; 2240-42E,22 51 39.80,-42 29 16.6
299,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=299,22 41 22.82,22 48 47.59,-42 45 13.0,-41 16 05.2,14.92,17.72,19.02,112,89,0.68,1993-12-09,153,SSA045-200; 2240-42W,22 44 16.91,-42 29 26.8
300,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=300,23 12 57.48,23 21 19.94,-42 44 43.4,-41 15 18.4,14.84,17.54,18.59,112,106,0.34,1993-08-10,106,SSA058-200; 2255-42E,23 15 43.42,-42 28 20.7
301,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=301,23 03 40.49,23 12 57.48,-42 44 43.4,-41 15 18.4,14.84,17.54,18.59,112,101,0.82,1993-09-10,114,SSA059-200; 2255-42M,23 06 28.85,-42 28 29.6
302,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=302,22 56 43.73,23 03 40.49,-42 44 43.4,-41 15 18.4,14.84,17.54,18.59,112,78,0.77,1993-05-10,217,SSA066-100; 2255-42W,22 59 33.89,-42 28 37.2
303,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=303,23 08 16.87,23 15 11.21,-39 44 28.0,-38 15 25.6,16.03,17.33,18.18,50,41,0.58,1989-01-10,135,SSA009-200; 2300-39E,23 11 02.69,-39 28 09.6
304,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=304,23 01 11.83,23 08 16.87,-39 44 28.0,-38 15 25.6,16.03,17.33,18.18,50,37,0.64,1990-06-09,121,SSA008-200; 2300-39W,23 03 59.31,-39 28 16.8
305,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=305,23 09 00.00,23 15 45.60,-45 44 24.0,-44 40 12.0,16.18,17.48,18.33,50,30,0.52,1991-01-10,137,SSA015-400; 2300-45E,23 11 48.43,-45 28 04.9
306,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=306,23 02 38.40,23 09 00.00,-45 44 24.0,-44 15 00.0,16.18,17.48,18.33,50,25,0.29,1991-02-10,151,SSA016-100; 2300-45W,23 05 28.67,-45 28 11.2
307,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=307,23 32 38.35,23 41 13.18,-39 44 06.4,-38 15 19.4,14.98,17.68,18.83,112,99,0.58,1991-02-10,106,SSA023-200; 2314-39E,23 35 18.38,-39 27 30.4
308,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=308,23 24 06.12,23 32 38.35,-39 44 06.4,-38 15 19.4,14.98,17.68,18.83,112,106,0.65,1993-03-09,195,SSA048-200; 2314-39M,23 26 48.19,-39 27 35.3
309,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=309,23 15 11.21,23 24 06.12,-39 44 06.4,-38 15 19.4,14.98,17.68,18.83,112,91,0.83,1992-09-09,114,SSA024-200; 2314-39W,23 17 55.40,-39 27 41.9
310,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=310,23 33 36.00,23 40 43.20,-45 44 24.0,-44 15 36.0,15.02,17.72,19.02,112,87,0.87,1994-05-10,156,SSA078-200; 2315-45E,23 36 17.21,-45 27 47.5
311,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=311,23 25 02.40,23 33 36.00,-45 44 24.0,-44 15 36.0,15.02,17.72,19.02,112,74,0.68,1994-04-10,142,SSA077-200; 2315-45M,23 27 46.14,-45 27 52.2
312,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=312,23 15 45.60,23 25 02.40,-45 44 24.0,-44 15 36.0,15.02,17.72,19.02,112,89,0.71,1994-03-10,131,SSA076-200; 2315-45W,23 18 32.06,-45 27 59.0
313,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=313,23 28 33.14,23 35 44.54,-42 44 38.4,-41 15 31.7,16.26,17.56,18.41,50,39,0.95,1990-04-10,179,SSA016-500; 2320-42E,23 31 14.96,-42 28 04.5
314,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=314,23 21 19.94,23 28 33.14,-42 44 38.4,-41 15 31.7,16.26,17.56,18.41,50,37,0.58,1990-03-10,165,SSA017-100; 2320-42W,23 24 03.67,-42 28 09.2
315,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=315,23 52 56.16,00 01 25.73,-42 44 20.8,-41 14 53.2,15.04,17.74,18.99,112,103,0.65,1993-12-10,150,SSA061-200; 2335-42E,23 55 31.47,-42 27 38.6
316,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=316,23 43 43.99,23 52 56.16,-42 44 20.8,-41 14 53.2,15.04,17.74,18.99,112,99,0.9,1993-11-10,136,SSA060-200; 2335-42M,23 46 21.76,-42 27 40.4
317,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=317,23 35 44.54,23 43 43.99,-42 44 20.8,-41 14 53.2,15.04,17.74,18.99,112,101,0.76,1993-10-10,125,SSA058-400; 2335-42W,23 38 24.44,-42 27 43.3
318,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=318,23 48 15.58,23 55 09.77,-39 44 23.6,-38 15 07.6,16.21,17.51,18.36,50,45,0.41,1990-09-10,107,SSA014-200; 2340-39E,23 50 51.86,-39 27 42.1
319,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=319,23 41 13.18,23 48 15.58,-39 44 23.6,-38 15 07.6,16.21,17.51,18.36,50,40,0.41,1989-04-10,174,SSA008-500; 2340-39W,23 43 51.16,-39 27 44.0
320,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=320,23 48 57.60,23 55 45.60,-45 44 24.0,-44 15 36.0,15.18,17.69,18.63,112,68,0.81,1991-03-10,117,SSA025-200; 2340-45E,23 51 34.26,-45 27 42.4
321,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=321,23 40 43.20,23 48 57.60,-45 44 24.0,-44 15 36.0,16.18,17.48,18.43,50,40,0.68,1990-05-10,193,SSA017-500; 2340-45W,23 43 22.31,-45 27 44.6
322,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=322,00 12 35.35,00 21 12.12,-39 44 26.5,-38 15 25.9,15.03,17.73,18.98,112,105,0.59,1991-06-10,149,SSA028-200; 2354-39E,00 15 05.78,-39 27 45.8
323,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=323,00 04 01.22,00 12 35.35,-39 44 26.5,-38 15 25.9,15.03,17.73,18.98,112,105,0.69,1991-05-10,143,SSA027-200; 2354-39M,00 06 33.71,-39 27 44.3
324,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=324,23 55 09.77,00 04 01.22,-39 44 26.5,-38 15 25.9,15.03,17.73,18.98,112,106,0.56,1991-04-10,131,SSA026-200; 2354-39W,23 57 44.39,-39 27 44.1
325,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=325,00 13 36.00,00 22 36.00,-45 44 24.0,-44 15 00.0,14.91,17.61,18.91,112,72,0.8,1994-01-10,108,SSA074-300; 2355-45E,00 16 05.35,-45 27 43.6
326,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=326,00 05 09.60,00 13 36.00,-45 44 24.0,-44 15 00.0,14.91,17.61,18.91,112,95,0.91,1994-07-10,184,SSA080-200; 2355-45M,00 07 41.45,-45 27 41.9
327,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=327,23 55 45.60,00 05 09.60,-45 44 24.0,-44 15 00.0,14.91,17.61,18.91,112,103,0.74,1994-06-10,170,SSA079-200; 2355-45W,23 58 20.25,-45 27 41.6
