recno,Field,RA1,RA2,DE1,DE2,m1,m2,mcen,Nfib,Ngal,f,Night,Frame,plate,_RA.icrs,_DE.icrs
154,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=154,11 51 34.61,11 57 09.77,-05 15 38.9,-04 44 33.0,16.04,17.34,18.19,50,45,0.65,1992-02-03,105,SSA011-200; 1151-06W,11 54 08.17,-05 32 20.7
155,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=155,11 57 29.23,12 03 00.91,-12 42 58.7,-11 16 17.8,15.03,17.73,19.28,112,54,0.77,1994-06-04,118,SSA068-200; 1151-12E,12 00 02.90,-12 59 41.0
156,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=156,11 52 20.90,11 57 29.23,-12 42 58.7,-11 16 17.8,15.03,17.73,19.28,112,90,0.79,1994-04-04,106,SSA067-200; 1151-12W,11 54 54.23,-12 59 40.6
157,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=157,12 09 31.32,12 15 31.30,-02 15 18.7,-01 44 43.8,15.05,17.65,18.85,112,108,0.59,1994-12-03,211,SSA055-200; 1203-03E,12 12 05.21,-02 31 59.8
158,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=158,12 03 42.31,12 09 31.32,-02 15 18.7,-01 44 43.8,15.05,17.65,18.85,112,96,0.89,1992-09-04,194,SSA040-100; 1203-03W,12 06 16.13,-02 32 00.7
159,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=159,12 09 36.02,12 15 36.74,-05 15 15.1,-04 44 41.3,16.02,17.32,18.22,50,46,0.42,1991-06-04,183,SSA020-600; 1203-06E,12 12 10.08,-05 31 56.2
160,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=160,12 03 30.98,12 09 36.02,-05 15 15.1,-04 44 41.3,16.02,17.32,18.22,50,46,0.63,1991-05-04,169,SSA021-200; 1203-06W,12 06 04.87,-05 31 57.1
161,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=161,12 09 39.19,12 15 00.48,-12 42 55.8,-11 16 20.6,15.03,17.73,19.38,112,84,0.86,1994-11-03,196,SSA054-200; 1203-12E,12 12 13.67,-12 59 37.0
162,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=162,12 03 00.91,12 09 39.19,-12 42 55.8,-11 16 20.6,15.03,17.73,19.38,112,75,0.89,1993-09-03,168,SSA053-200; 1203-12W,12 05 34.95,-12 59 37.9
163,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=163,12 21 28.97,12 27 29.74,-02 15 47.5,-01 44 50.3,14.79,17.59,18.69,112,104,0.89,1994-10-03,185,SSA033-300; 1215-03E,12 24 03.01,-02 32 24.8
